"governor.position","governor.word","governor.tag","governor.category","governors.parent.category","conjunction.word","conjunction.tag","coordination.category","coordinations.parent.category","antecedent.category","no.conjuncts","L.conjunct","L.category","L.head.word","L.head.tag","L.head.category","L.words","L.tokens","L.syllables","L.chars","R.conjunct","R.category","R.head.word","R.head.tag","R.head.category","R.words","R.tokens","R.syllables","R.chars","sentence","sent_id","double.governor"
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Zaczekaj","zdanie","Zaczekaj","impt:sg:sec:perf","formaczas",1,1,3,8,"zaraz, ja wyjaśnię","zdanie","wyjaśnię","fin:sg:pri:perf","formaczas",3,4,7,18,"- Zaczekaj, zaraz, ja wyjaśnię.","NKJP_1M_1102000015/morph_1-p/morph_1.27-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Czekaj","zdanie","Czekaj","impt:sg:sec:imperf","formaczas",1,1,2,6,"ja wyjaśnię","zdanie","wyjaśnię","fin:sg:pri:perf","formaczas",2,2,4,11,"- Czekaj, ja wyjaśnię.","NKJP_1M_1102000015/morph_1-p/morph_1.13-s",
0,,,,,",","interp","fwe","ff",,2,"siedź","fwe","siedź","impt:sg:sec:imperf","formaczas",1,1,1,5,"nic nie wyjaśniaj","fwe","wyjaśniaj","impt:sg:sec:imperf","formaczas",3,3,5,17,"- Franuś, siedź, nic nie wyjaśniaj.","NKJP_1M_1102000015/morph_1-p/morph_1.41-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"W pięciu sklepach nic nie znaleziono","zdanie","znaleziono","imps:perf","formaczas",6,6,11,36,"przeszukiwania pozostałych trwają","zdanie","trwają","fin:pl:ter:imperf","formaczas",3,3,11,33,"W pięciu sklepach nic nie znaleziono, przeszukiwania pozostałych trwają.","NKJP_1M_1305000000500/morph_1-p/morph_1.42-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Adam wspaniale tańczył","zdanie","tańczył","praet:sg:m1:imperf","formaczas",3,3,6,22,"okazywał Edycie dużo zainteresowania","zdanie","okazywał","praet:sg:m1:imperf","formaczas",4,4,14,36,"Adam wspaniale tańczył, okazywał Edycie dużo zainteresowania.","NKJP_1M_3302000005/morph_4-p/morph_4.43-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,3,"Często chodzili do pubu","zdanie","chodzili","praet:pl:m1:imperf","formaczas",4,4,8,23,"rozmawiali","zdanie","rozmawiali","praet:pl:m1:imperf","formaczas",1,1,4,10,"Często chodzili do pubu, pili piwo, rozmawiali.","NKJP_1M_3302000005/morph_4-p/morph_4.59-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,3,"Weź pilota","zdanie","Weź","impt:sg:sec:perf","formaczas",2,2,4,10,"niech się nie miota","zdanie","miota","fin:sg:ter:imperf","formaczas",4,4,5,19,"- Weź pilota, wyłącz kmiota, niech się nie miota.","NKJP_1M_1202000010/morph_70-p/morph_70.36-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Wstaję","zdanie","Wstaję","fin:sg:pri:imperf","formaczas",1,1,2,6,"wyglądam przez okno","zdanie","wyglądam","fin:sg:pri:imperf","formaczas",3,3,5,19,"Wstaję, wyglądam przez okno.","NKJP_1M_1202000010/morph_16-p/morph_16.6-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Jesteś impulsywna","zdanie","Jesteś","fin:sg:sec:imperf","formaczas",2,2,6,17,"bardzo żywo na wszystko reagujesz","zdanie","reagujesz","fin:sg:sec:imperf","formaczas",5,5,10,33,"Jesteś impulsywna, bardzo żywo na wszystko reagujesz.","NKJP_1M_1202000010/morph_106-p/morph_106.44-s",
"L","naturą","subst:sg:inst:f","formarzecz","fno",",","interp","fpt","fno","fno",2,"bardziej refleksyjną","fpt","refleksyjną","adj:sg:inst:f:pos","formaprzym",2,2,6,20,"obowiązkową","fpt","obowiązkową","adj:sg:inst:f:pos","formaprzym",1,1,4,11,"Ty sama jesteś naturą bardziej refleksyjną, obowiązkową.","NKJP_1M_1202000010/morph_11-p/morph_11.45-s",
