governor.position,governor.word,governor.tag,governor.category,governors.parent.category,conjunction.word,conjunction.tag,coordination.category,coordinations.parent.category,antecedent.category,no.conjuncts,L.conjunct,L.category,L.head.word,L.head.tag,L.head.category,L.words,L.tokens,L.syllables,L.chars,R.conjunct,R.category,R.head.word,R.head.tag,R.head.category,R.words,R.tokens,R.syllables,R.chars,sentence,sent_id,double.governor
0,,,,,",",interp,zdanie,wypowiedzenie,,2,Zaczekaj,zdanie,Zaczekaj,impt:sg:sec:perf,formaczas,1,1,3,8,"zaraz, ja wyjaśnię",zdanie,wyjaśnię,fin:sg:pri:perf,formaczas,3,4,6,18,"- Zaczekaj, zaraz, ja wyjaśnię.",NKJP_1M_1102000015/morph_1-p/morph_1.27-s,
0,,,,,",",interp,zdanie,wypowiedzenie,,2,Czekaj,zdanie,Czekaj,impt:sg:sec:imperf,formaczas,1,1,2,6,ja wyjaśnię,zdanie,wyjaśnię,fin:sg:pri:perf,formaczas,2,2,4,11,"- Czekaj, ja wyjaśnię.",NKJP_1M_1102000015/morph_1-p/morph_1.13-s,
0,,,,,",",interp,fwe,ff,,2,siedź,fwe,siedź,impt:sg:sec:imperf,formaczas,1,1,1,5,nic nie wyjaśniaj,fwe,wyjaśniaj,impt:sg:sec:imperf,formaczas,3,3,5,17,"- Franuś, siedź, nic nie wyjaśniaj.",NKJP_1M_1102000015/morph_1-p/morph_1.41-s,
L,możnością,subst:sg:inst:f,formarzecz,fno,a~nawet,conj~qub,fno,fno,fno,2,rozmowy,fno,rozmowy,subst:sg:gen:f,formarzecz,1,1,3,7,kontrowersji,fno,kontrowersji,subst:sg:gen:f,formarzecz,1,1,4,12,"Możność lektury jednak powinna się łączyć z możnością rozmowy, a nawet kontrowersji.",NKJP_1M_1102000015/morph_2-p/morph_2.59-s,
L,Albo,conj,spójnik,wypowiedzenie,ale,conj,zdanie,wypowiedzenie,wypowiedzenie,2,jest,zdanie,jest,fin:sg:ter:imperf,formaczas,1,1,1,4,niczego nie otwiera,zdanie,otwiera,fin:sg:ter:imperf,formaczas,3,3,7,19,"Albo jest, ale niczego nie otwiera.",NKJP_1M_2004000059/morph_3-p/morph_3.78-s,
L,pokazywał,praet:sg:m1:imperf,formaczas,fwe,i,conj,fwe,ff,zdanie,2,stygnie,fwe,stygnie,fin:sg:ter:imperf,formaczas,1,1,2,7,sztywnieje,fwe,sztywnieje,fin:sg:ter:imperf,formaczas,1,1,3,10,"A idąc tak coraz wyżej, pokazywał nam, jak stygnie i sztywnieje.",NKJP_1M_1102000000027/morph_2-p/morph_2.63-s,
0,,,,,",",interp,zdanie,wypowiedzenie,,2,W pięciu sklepach nic nie znaleziono,zdanie,znaleziono,imps:perf,formaczas,6,6,11,36,przeszukiwania pozostałych trwają,zdanie,trwają,fin:pl:ter:imperf,formaczas,3,3,11,33,"W pięciu sklepach nic nie znaleziono, przeszukiwania pozostałych trwają.",NKJP_1M_1305000000500/morph_1-p/morph_1.42-s,
L,Ale,conj,spójnik,wypowiedzenie,i,conj,zdanie,wypowiedzenie,wypowiedzenie,2,polityka szybko stawała się mniej liberalna,zdanie,stawała,praet:sg:f:imperf,formaczas,6,6,15,43,antologia nie mogła się ukazać,zdanie,mogła,praet:sg:f:imperf,formaczas,5,5,11,30,Ale polityka szybko stawała się mniej liberalna i antologia nie mogła się ukazać.,NKJP_1M_0402000008/morph_4-p/morph_4.78-s,
L,poezji,subst:sg:gen:f,formarzecz,fno,i,conj,fpt,fno,fno,2,angielskiej,fpt,angielskiej,adj:sg:gen:f:pos,formaprzym,1,1,3,11,amerykańskiej,fpt,amerykańskiej,adj:sg:gen:f:pos,formaprzym,1,1,5,13,"Na wiosnę 1945 roku układałem w Krakowie antologię poezji angielskiej i amerykańskiej, zbierając rozproszone przekłady różnych autorów.",NKJP_1M_0402000008/morph_4-p/morph_4.20-s,
L,na,prep:acc,przyimek,fpm,i,conj,fno,fpm,fpm,2,tłumek mikrusów,fno,tłumek,subst:sg:acc:m3,formarzecz,2,2,5,15,"nielicznych starszych osiłków, opóźnionych w naukach",fno,osiłków,subst:pl:acc:m1,formarzecz,6,7,15,52,"W niższych klasach szkoły dzieliliśmy się na tłumek mikrusów i nielicznych starszych osiłków, opóźnionych w naukach, bo przecież to było zaraz po wojnie.",NKJP_1M_0402000008/morph_2-p/morph_2.27-s,
